_symbol,_timestamp,_open,_high,_low,_close,_volume,_trade_count,_vwap
SPY,2023-01-09 05:00:00+00:00,390.37,399.1,386.27,398.5,362234460.0,2606335.0,393.312504
SPY,2023-01-16 05:00:00+00:00,398.48,400.23,387.26,395.88,340809100.0,2133535.0,393.346711
SPY,2023-01-23 05:00:00+00:00,396.72,408.16,393.56,405.68,369061922.0,2601519.0,401.027807
SPY,2023-01-30 05:00:00+00:00,402.8,418.31,400.28,412.35,458757672.0,3248051.0,409.166518
SPY,2023-02-06 05:00:00+00:00,409.79,416.49,405.01,408.04,376934988.0,2741298.0,410.265985
