_latitude,_longitude,_date,_max_temp,_min_temp,_feels_max_temp,_feels_min_temp
40.738136291503906,-74.04254150390625,2023-01-08,45.738502502441406,31.78849983215332,36.45978546142578,24.03436851501465
40.738136291503906,-74.04254150390625,2023-01-09,38.53850173950195,26.74850082397461,32.61509323120117,19.78704071044922
40.738136291503906,-74.04254150390625,2023-01-10,43.938499450683594,32.23849868774414,34.83598709106445,24.405275344848633
40.738136291503906,-74.04254150390625,2023-01-11,42.22850036621094,31.068500518798828,34.51829528808594,23.242515563964844
40.738136291503906,-74.04254150390625,2023-01-12,37.90850067138672,28.818500518798828,30.466026306152344,20.3091983795166
40.738136291503906,-74.04254150390625,2023-01-13,50.14849853515625,29.898500442504883,45.77716064453125,22.741682052612305
40.738136291503906,-74.04254150390625,2023-01-14,53.748497009277344,36.10850143432617,48.607025146484375,25.57101058959961
40.738136291503906,-74.04254150390625,2023-01-15,35.65850067138672,28.818500518798828,25.11224365234375,15.00174331665039
40.738136291503906,-74.04254150390625,2023-01-16,40.15850067138672,27.82849884033203,27.390138626098633,13.962772369384766
40.738136291503906,-74.04254150390625,2023-01-17,45.64849853515625,26.65850067138672,36.9678955078125,13.852407455444336
40.738136291503906,-74.04254150390625,2023-01-18,44.298500061035156,27.28849983215332,37.051090240478516,19.486072540283203
40.738136291503906,-74.04254150390625,2023-01-19,50.32849884033203,36.19850158691406,41.3658561706543,29.69658088684082
40.738136291503906,-74.04254150390625,2023-01-20,41.058502197265625,35.208499908447266,35.14478302001953,29.268909454345703
40.738136291503906,-74.04254150390625,2023-01-21,47.0885009765625,34.21849822998047,36.18041229248047,27.047021865844727
40.738136291503906,-74.04254150390625,2023-01-22,41.958499908447266,26.8385009765625,34.37308883666992,19.896583557128906
40.738136291503906,-74.04254150390625,2023-01-23,40.96849822998047,24.76849937438965,34.49443054199219,17.765798568725586
40.738136291503906,-74.04254150390625,2023-01-24,36.37849807739258,31.69849967956543,28.878847122192383,21.242633819580078
40.738136291503906,-74.04254150390625,2023-01-25,44.8385009765625,28.99850082397461,33.1973876953125,20.478281021118164
40.738136291503906,-74.04254150390625,2023-01-26,51.498497009277344,26.568500518798828,42.76932144165039,19.830930709838867
40.738136291503906,-74.04254150390625,2023-01-27,52.30849838256836,35.298500061035156,48.438148498535156,26.024059295654297
40.738136291503906,-74.04254150390625,2023-01-28,41.958499908447266,28.098499298095703,32.31128692626953,21.445552825927734
40.738136291503906,-74.04254150390625,2023-01-29,50.50849914550781,29.53849983215332,40.57318115234375,21.040367126464844
40.738136291503906,-74.04254150390625,2023-01-30,49.78849792480469,31.15850067138672,40.94900894165039,23.984500885009766
40.738136291503906,-74.04254150390625,2023-01-31,51.9484977722168,35.298500061035156,46.508052825927734,29.767202377319336
40.738136291503906,-74.04254150390625,2023-02-01,42.5885009765625,30.798500061035156,37.53949737548828,21.133760452270508
40.738136291503906,-74.04254150390625,2023-02-02,36.64849853515625,24.678499221801758,27.609344482421875,16.201580047607422
40.738136291503906,-74.04254150390625,2023-02-03,38.26850128173828,22.9685001373291,27.303077697753906,15.447973251342773
40.738136291503906,-74.04254150390625,2023-02-04,31.338499069213867,10.908498764038086,20.514863967895508,-6.500049591064453
40.738136291503906,-74.04254150390625,2023-02-05,23.958499908447266,1.1885013580322266,13.179155349731445,-12.057823181152344
40.738136291503906,-74.04254150390625,2023-02-06,47.358497619628906,22.9685001373291,37.22240447998047,12.623189926147461
40.738136291503906,-74.04254150390625,2023-02-07,49.248497009277344,29.178499221801758,38.27531433105469,21.57613754272461
40.738136291503906,-74.04254150390625,2023-02-08,37.548500061035156,23.598499298095703,30.10077476501465,14.851495742797852
40.738136291503906,-74.04254150390625,2023-02-09,49.6984977722168,31.9685001373291,41.36469268798828,24.82209014892578
40.738136291503906,-74.04254150390625,2023-02-10,50.958499908447266,27.73849868774414,45.52021026611328,21.122718811035156
40.738136291503906,-74.04254150390625,2023-02-11,56.26850128173828,41.50849914550781,48.48460006713867,32.03160858154297
40.738136291503906,-74.04254150390625,2023-02-12,43.03849792480469,31.69849967956543,34.932498931884766,22.06383514404297
40.738136291503906,-74.04254150390625,2023-02-13,43.21849822998047,29.898500442504883,36.841461181640625,23.548826217651367
40.738136291503906,-74.04254150390625,2023-02-14,54.91849899291992,35.38850021362305,46.69732666015625,24.46812629699707
40.738136291503906,-74.04254150390625,2023-02-15,51.40850067138672,35.47850036621094,43.434043884277344,25.26438331604004
40.738136291503906,-74.04254150390625,2023-02-16,61.488502502441406,36.37849807739258,53.49449920654297,30.10533332824707
40.738136291503906,-74.04254150390625,2023-02-17,65.53849792480469,47.53849792480469,63.299190521240234,41.634925842285156
40.738136291503906,-74.04254150390625,2023-02-18,58.608497619628906,29.088499069213867,53.98956298828125,15.737232208251953
40.738136291503906,-74.04254150390625,2023-02-19,41.238502502441406,26.118499755859375,31.64690589904785,15.301849365234375
40.738136291503906,-74.04254150390625,2023-02-20,45.55849838256836,30.258499145507812,38.132991790771484,23.320066452026367
40.738136291503906,-74.04254150390625,2023-02-21,58.51850128173828,40.878501892089844,50.518714904785156,35.41630935668945
40.738136291503906,-74.04254150390625,2023-02-22,45.91850280761719,34.12849807739258,40.96172332763672,27.114578247070312
40.738136291503906,-74.04254150390625,2023-02-23,40.96849822998047,29.44849967956543,35.1653938293457,22.65484619140625
40.738136291503906,-74.04254150390625,2023-02-24,44.8385009765625,35.74850082397461,39.20417022705078,28.228790283203125
40.738136291503906,-74.04254150390625,2023-02-25,44.298500061035156,25.308500289916992,35.460693359375,13.857172012329102
