_symbol,_timestamp,_open,_high,_low,_close,_volume,_trade_count,_vwap
SPY,2023-01-17 05:00:00+00:00,398.48,400.23,397.06,397.77,62677281.0,437654.0,398.196249
SPY,2023-01-18 05:00:00+00:00,399.01,400.12,391.28,391.49,99632262.0,642981.0,394.554102
SPY,2023-01-19 05:00:00+00:00,389.36,391.08,387.26,388.64,86958919.0,548675.0,389.265344
SPY,2023-01-20 05:00:00+00:00,390.1,396.04,388.38,395.88,91540638.0,504225.0,392.589237
SPY,2023-01-23 05:00:00+00:00,396.72,402.645,395.72,400.63,84178797.0,568459.0,399.770486
SPY,2023-01-24 05:00:00+00:00,398.88,401.15,397.64,400.2,59524911.0,434104.0,399.936468
SPY,2023-01-25 05:00:00+00:00,395.95,400.7,393.56,400.35,84800251.0,583223.0,397.857328
SPY,2023-01-26 05:00:00+00:00,403.13,404.92,400.03,404.75,72287425.0,521284.0,402.611745
SPY,2023-01-27 05:00:00+00:00,403.655,408.16,403.44,405.68,68270538.0,494449.0,405.790629
SPY,2023-01-30 05:00:00+00:00,402.8,405.13,400.28,400.59,74202018.0,514525.0,402.226339
SPY,2023-01-31 05:00:00+00:00,401.13,406.53,400.77,406.48,86811786.0,512621.0,404.158786
SPY,2023-02-01 05:00:00+00:00,405.211,413.67,402.35,410.8,101459155.0,833210.0,407.863027
SPY,2023-02-02 05:00:00+00:00,414.86,418.31,412.88,416.78,101654463.0,724700.0,415.525217
SPY,2023-02-03 05:00:00+00:00,411.59,416.97,411.09,412.35,94630250.0,662995.0,413.769344
SPY,2023-02-06 05:00:00+00:00,409.79,411.29,408.1,409.83,60295325.0,461546.0,409.99197
SPY,2023-02-07 05:00:00+00:00,408.87,416.49,407.57,415.19,90990745.0,695519.0,411.996675
SPY,2023-02-08 05:00:00+00:00,413.13,414.53,409.93,410.65,76227462.0,529228.0,411.925217
SPY,2023-02-09 05:00:00+00:00,414.41,414.57,405.81,407.09,78694859.0,566609.0,409.795406
SPY,2023-02-10 05:00:00+00:00,405.86,408.44,405.01,408.04,70726597.0,488396.0,407.008344
SPY,2023-02-13 05:00:00+00:00,408.72,412.97,408.24,412.83,64913539.0,426599.0,411.386908
SPY,2023-02-14 05:00:00+00:00,411.24,415.05,408.511,412.64,88389313.0,627808.0,412.117291
SPY,2023-02-15 05:00:00+00:00,410.35,414.06,409.47,413.98,61685279.0,427502.0,412.264759
SPY,2023-02-16 05:00:00+00:00,408.79,412.91,408.14,408.28,76431469.0,583413.0,410.32092
SPY,2023-02-17 05:00:00+00:00,406.06,407.51,404.05,407.26,89166502.0,561230.0,406.1318
SPY,2023-02-21 05:00:00+00:00,403.06,404.16,398.82,399.09,82655924.0,559129.0,401.142453
SPY,2023-02-22 05:00:00+00:00,399.52,401.13,397.02,398.54,83742293.0,568097.0,398.909602
SPY,2023-02-23 05:00:00+00:00,401.56,402.2,396.25,400.66,96242399.0,740996.0,399.620562
SPY,2023-02-24 05:00:00+00:00,395.42,397.25,393.64,396.38,108144871.0,753684.0,395.805907
SPY,2023-02-27 05:00:00+00:00,399.87,401.29,396.75,397.73,80444736.0,592301.0,398.628525
SPY,2023-02-28 05:00:00+00:00,397.23,399.28,396.15,396.26,96438567.0,600688.0,397.420328
SPY,2023-03-01 05:00:00+00:00,395.41,396.69,393.38,394.74,99706823.0,699148.0,395.137162
SPY,2023-03-02 05:00:00+00:00,392.68,398.69,392.33,397.81,85404726.0,612512.0,395.426506
SPY,2023-03-03 05:00:00+00:00,399.71,404.45,399.03,404.19,90032260.0,642924.0,402.056672
SPY,2023-03-06 05:00:00+00:00,405.05,407.45,404.01,404.47,72795946.0,539397.0,405.429475
SPY,2023-03-07 05:00:00+00:00,404.42,404.67,397.625,398.27,108310596.0,776311.0,400.379801
SPY,2023-03-08 05:00:00+00:00,398.39,399.71,396.59,398.92,74746632.0,578078.0,398.259987
SPY,2023-03-09 05:00:00+00:00,399.74,401.48,390.53,391.56,111945322.0,849092.0,395.434146
SPY,2023-03-10 05:00:00+00:00,390.99,393.16,384.32,385.91,189443810.0,1382948.0,388.304166
SPY,2023-03-13 04:00:00+00:00,381.81,390.39,380.65,385.36,157748594.0,1390572.0,386.088436
SPY,2023-03-14 04:00:00+00:00,390.5,393.45,387.05,391.73,149752357.0,1032582.0,390.217482
SPY,2023-03-15 04:00:00+00:00,385.89,389.49,383.71,389.28,172976539.0,1334145.0,387.158905
SPY,2023-03-16 04:00:00+00:00,386.82,396.47,386.29,396.11,143753940.0,999801.0,392.990202
SPY,2023-03-17 04:00:00+00:00,393.22,394.4,388.55,389.99,140069974.0,919378.0,391.222542
SPY,2023-03-20 04:00:00+00:00,390.8,394.17,390.07,393.74,93055783.0,725425.0,392.355332
SPY,2023-03-21 04:00:00+00:00,397.24,399.41,395.58,398.91,91524248.0,629617.0,397.098427
